accident_date,gender,age
1.48E+12,Male,61
1.45E+12,Male,31
1.45E+12,Male,47
1.45E+12,Female,45
1.45E+12,Male,45
1.50E+12,Male,23
1.44E+12,Male,52
1.44E+12,Male,48
1.44E+12,Female,70
1.44E+12,Female,58
1.53E+12,Male,53
1.44E+12,Male,75
1.44E+12,Female,88
1.41E+12,Male,54
1.44E+12,Male,36
1.52E+12,Male,66
1.44E+12,Female,74
1.44E+12,Male,76
1.44E+12,Male,79
1.44E+12,Male,66
1.44E+12,Male,53
1.44E+12,Male,54
1.49E+12,Male,66
1.44E+12,Male,16
1.45E+12,Male,16
1.45E+12,Male,18
1.50E+12,Male,71
1.46E+12,Male,20
1.47E+12,Male,24
1.45E+12,Female,19
1.45E+12,Male,45
1.45E+12,Male,41
1.45E+12,Male,41
1.52E+12,Female,64
1.45E+12,Male,64
1.45E+12,Male,25
1.45E+12,Male,25
1.46E+12,Female,17
1.55E+12,Male,78
1.46E+12,Female,88
1.44E+12,Male,29
1.45E+12,Male,74
1.45E+12,Male,45
1.46E+12,Male,44
1.46E+12,Male,55
1.46E+12,Male,81
1.46E+12,Male,83
1.51E+12,Male,59
1.49E+12,Male,55
1.55E+12,Male,65
1.47E+12,Male,42
1.46E+12,Male,60
1.51E+12,Female,19
1.50E+12,Male,65
1.40E+12,Male,41
1.46E+12,Female,45
1.46E+12,Male,56
1.46E+12,Male,75
1.48E+12,Female,1
1.45E+12,Male,54
1.52E+12,Female,73
1.45E+12,Female,81
1.49E+12,Male,78
1.46E+12,Male,36
1.45E+12,Male,38
1.45E+12,Male,32
1.45E+12,Male,69
1.45E+12,Female,25
1.45E+12,Male,28
1.48E+12,Male,48
1.51E+12,Female,18
1.45E+12,Male,29
1.55E+12,Female,90
1.53E+12,Male,42
1.45E+12,Female,11
1.45E+12,Female,80
1.47E+12,Male,39
1.45E+12,Female,58
1.45E+12,Male,21
1.45E+12,Male,31
1.52E+12,Male,62
1.45E+12,Male,20
1.45E+12,Male,70
1.53E+12,Male,43
1.43E+12,Female,73
1.47E+12,Female,38
1.48E+12,Male,36
1.46E+12,Female,50
1.47E+12,Female,62
1.47E+12,Female,57
1.46E+12,Female,69
1.45E+12,Female,28
1.46E+12,Male,57
1.46E+12,Male,36
1.47E+12,Male,85
1.46E+12,Male,82
1.48E+12,Female,3
1.43E+12,Male,40
1.46E+12,Male,48
1.46E+12,Female,28
1.46E+12,Male,23
1.46E+12,Male,59
1.54E+12,Male,20
1.47E+12,Male,42
1.46E+12,Male,31
1.50E+12,Male,39
1.46E+12,Male,53
1.46E+12,Female,35
1.50E+12,Male,43
1.44E+12,Male,52
1.54E+12,Male,31
1.40E+12,Male,10
1.46E+12,Male,63
1.46E+12,Male,54
1.46E+12,Male,38
1.51E+12,Female,53
1.46E+12,Male,53
1.46E+12,Male,46
1.55E+12,Male,43
1.46E+12,Male,32
1.55E+12,Female,51
1.44E+12,Male,55
1.46E+12,Male,48
1.46E+12,Male,39
1.52E+12,Male,60
1.44E+12,Male,39
1.47E+12,Male,86
1.56E+12,Female,75
1.43E+12,Male,21
1.49E+12,Male,47
1.46E+12,Female,15
1.46E+12,Male,59
1.51E+12,Male,47
1.52E+12,Male,55
1.46E+12,Female,19
1.47E+12,Female,73
1.47E+12,Female,71
1.50E+12,Female,93
1.49E+12,Male,26
1.47E+12,Male,50
1.46E+12,Female,33
1.46E+12,Male,44
1.45E+12,Female,47
1.46E+12,Male,66
1.44E+12,Male,18
1.46E+12,Male,83
1.46E+12,Male,23
1.46E+12,Female,80
1.46E+12,Female,18
1.55E+12,Female,50
1.46E+12,Male,18
1.46E+12,Male,43
1.47E+12,Male,59
1.44E+12,Male,32
1.46E+12,Female,63
1.46E+12,Male,62
1.47E+12,Male,41
1.47E+12,Female,39
1.49E+12,Male,68
1.47E+12,Male,29
1.46E+12,Male,17
