latitude,longitude,geometry,accident_date,gender,age,road_user_type,road_user_type_desc,accident_type,accident_type_desc,num_of_vehicles,lga_name,stat_div_name,node_type_desc,road_type,location_count
-37.92727181,145.2518243,Point,1520000000000,Female,27,2,Drivers,1,Collision with vehicle,2,KNOX,Melbourne - Outer East,Intersection,Main Roads,1
-37.2543693,144.6750188,Point,1550000000000,Female,86,3,Passengers,4,Collision with a fixed object,1,MACEDON RANGES,Country,Non Intersection,Local Roads,2
-37.2543693,144.6750188,Point,1550000000000,Male,87,2,Drivers,4,Collision with a fixed object,1,MACEDON RANGES,Country,Non Intersection,Local Roads,2
-38.17146008,143.8504025,Point,1430000000000,Male,44,2,Drivers,4,Collision with a fixed object,1,SURF COAST,Country,Non Intersection,Local Roads,1
-36.43597876,144.6487172,Point,1530000000000,Female,71,2,Drivers,1,Collision with vehicle,2,BENDIGO,Bendigo,Non Intersection,Freeway & State Highways,1
-37.91083968,145.4936101,Point,1500000000000,Female,33,3,Passengers,1,Collision with vehicle,2,CARDINIA,Melbourne - South East,Non Intersection,Local Roads,1
-37.92499996,145.48835,Point,1490000000000,Female,27,2,Drivers,4,Collision with a fixed object,1,CARDINIA,Melbourne - South East,Non Intersection,Main Roads,1
-37.80421072,144.8500789,Point,1530000000000,Male,46,1,Pedestrians,2,Struck Pedestrian,1,MARIBYRNONG,Melbourne - West,Non Intersection,Local Roads,1
-37.39034154,142.8732422,Point,1390000000000,Female,65,2,Drivers,4,Collision with a fixed object,1,ARARAT,Country,Non Intersection,Main Roads,1
-37.35196052,145.022417,Point,1430000000000,Male,25,1,Pedestrians,2,Struck Pedestrian,1,MITCHELL,Country,Non Intersection,Freeway & State Highways,1
-38.12287062,145.7416668,Point,1520000000000,Female,15,3,Passengers,4,Collision with a fixed object,1,CARDINIA,Melbourne - South East,Non Intersection,Local Roads,1
-38.32948188,144.985296,Point,1430000000000,Male,17,6,Bicyclists,1,Collision with vehicle,2,MORNINGTON PENINSULA,Metro,Intersection,Main Roads,1
-36.95243569,147.3564506,Point,1540000000000,Male,62,4,Motorcyclists,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,Non Intersection,Local Roads,1
-36.55345015,144.7732712,Point,1390000000000,Male,18,3,Passengers,1,Collision with vehicle,2,CAMPASPE,Country,Non Intersection,Main Roads,4
-36.55345015,144.7732712,Point,1390000000000,Male,51,3,Passengers,1,Collision with vehicle,2,CAMPASPE,Country,Non Intersection,Main Roads,4
-36.55345015,144.7732712,Point,1390000000000,Male,19,2,Drivers,1,Collision with vehicle,2,CAMPASPE,Country,Non Intersection,Main Roads,4
-36.55345015,144.7732712,Point,1390000000000,Male,53,2,Drivers,1,Collision with vehicle,2,CAMPASPE,Country,Non Intersection,Main Roads,4
-37.85887287,145.0013894,Point,1530000000000,Male,25,3,Passengers,1,Collision with vehicle,2,STONNINGTON,Melbourne - Inner,Intersection,Freeway & State Highways,1
-37.65855189,144.6096155,Point,1550000000000,Male,62,4,Motorcyclists,4,Collision with a fixed object,1,MELTON,Melbourne - West,Non Intersection,Local Roads,1
-36.43368283,145.7727487,Point,1520000000000,Female,39,2,Drivers,1,Collision with vehicle,2,SHEPPARTON,Country,Non Intersection,Freeway & State Highways,1
-37.55995996,145.416452,Point,1530000000000,Female,41,3,Passengers,8,No collision and no object struck,1,YARRA RANGES,Melbourne - Outer East,Non Intersection,Freeway & State Highways,1
-37.91848421,145.1587048,Point,1540000000000,Male,75,2,Drivers,1,Collision with vehicle,3,MONASH,Melbourne - South East,Intersection,Freeway & State Highways,1
